item_id,item_name,dept_id,cat_id
FOODS_3_001,FOODS 3 001,FOODS_3,FOODS
FOODS_3_002,FOODS 3 002,FOODS_3,FOODS
FOODS_3_003,FOODS 3 003,FOODS_3,FOODS
FOODS_3_004,FOODS 3 004,FOODS_3,FOODS
FOODS_3_005,FOODS 3 005,FOODS_3,FOODS
FOODS_3_006,FOODS 3 006,FOODS_3,FOODS
FOODS_3_007,FOODS 3 007,FOODS_3,FOODS
FOODS_3_008,FOODS 3 008,FOODS_3,FOODS
FOODS_3_009,FOODS 3 009,FOODS_3,FOODS
FOODS_3_010,FOODS 3 010,FOODS_3,FOODS
FOODS_3_011,FOODS 3 011,FOODS_3,FOODS
FOODS_3_012,FOODS 3 012,FOODS_3,FOODS
FOODS_3_013,FOODS 3 013,FOODS_3,FOODS
FOODS_3_014,FOODS 3 014,FOODS_3,FOODS
FOODS_3_015,FOODS 3 015,FOODS_3,FOODS
FOODS_3_016,FOODS 3 016,FOODS_3,FOODS
FOODS_3_017,FOODS 3 017,FOODS_3,FOODS
FOODS_3_018,FOODS 3 018,FOODS_3,FOODS
FOODS_3_019,FOODS 3 019,FOODS_3,FOODS
FOODS_3_020,FOODS 3 020,FOODS_3,FOODS
FOODS_3_021,FOODS 3 021,FOODS_3,FOODS
FOODS_3_022,FOODS 3 022,FOODS_3,FOODS
FOODS_3_023,FOODS 3 023,FOODS_3,FOODS
FOODS_3_024,FOODS 3 024,FOODS_3,FOODS
FOODS_3_025,FOODS 3 025,FOODS_3,FOODS
FOODS_3_026,FOODS 3 026,FOODS_3,FOODS
FOODS_3_027,FOODS 3 027,FOODS_3,FOODS
FOODS_3_028,FOODS 3 028,FOODS_3,FOODS
FOODS_3_029,FOODS 3 029,FOODS_3,FOODS
FOODS_3_030,FOODS 3 030,FOODS_3,FOODS
FOODS_3_031,FOODS 3 031,FOODS_3,FOODS
FOODS_3_032,FOODS 3 032,FOODS_3,FOODS
FOODS_3_033,FOODS 3 033,FOODS_3,FOODS
FOODS_3_034,FOODS 3 034,FOODS_3,FOODS
FOODS_3_035,FOODS 3 035,FOODS_3,FOODS
FOODS_3_036,FOODS 3 036,FOODS_3,FOODS
FOODS_3_037,FOODS 3 037,FOODS_3,FOODS
FOODS_3_038,FOODS 3 038,FOODS_3,FOODS
FOODS_3_039,FOODS 3 039,FOODS_3,FOODS
FOODS_3_040,FOODS 3 040,FOODS_3,FOODS
FOODS_3_041,FOODS 3 041,FOODS_3,FOODS
FOODS_3_042,FOODS 3 042,FOODS_3,FOODS
FOODS_3_043,FOODS 3 043,FOODS_3,FOODS
FOODS_3_044,FOODS 3 044,FOODS_3,FOODS
FOODS_3_045,FOODS 3 045,FOODS_3,FOODS
FOODS_3_046,FOODS 3 046,FOODS_3,FOODS
FOODS_3_047,FOODS 3 047,FOODS_3,FOODS
FOODS_3_048,FOODS 3 048,FOODS_3,FOODS
FOODS_3_049,FOODS 3 049,FOODS_3,FOODS
FOODS_3_050,FOODS 3 050,FOODS_3,FOODS
