scenario,allocation_method,store_id,number_of_series,target_order_units,allocated_order_units,actual_demand_units,served_units,shortage_units,leftover_units,stockout_series,purchase_spend,holding_cost_units,shortage_cost_units,operational_cost_units,budget_limit,capacity_limit,unconstrained_spend,unconstrained_units,fill_rate_percent,stockout_series_percent,target_coverage_percent,budget_utilisation_percent,capacity_utilisation_percent,average_cost_per_series
balanced,milp_optimised,CA_1,50,3928,3338,2525.0,2204.0,321.0,1134.0,26,4097.5,1134.0,1605.0,2739.0,4175.24,3338,5219.04,3928,87.29,52.0,84.98,98.14,100.0,54.78
balanced,milp_optimised,TX_1,50,2226,1892,1338.0,1234.0,104.0,658.0,18,1986.81,658.0,520.0,1178.0,2109.73,1892,2637.16,2226,92.23,36.0,85.0,94.17,100.0,23.56
balanced,milp_optimised,WI_1,50,3394,2884,2629.0,2326.0,303.0,558.0,30,3629.31,558.0,1515.0,2073.0,3696.77,2884,4620.96,3394,88.47,60.0,84.97,98.18,100.0,41.46
balanced,proportional_heuristic,CA_1,50,3928,3154,2525.0,2383.0,142.0,771.0,15,4175.22,771.0,710.0,1481.0,4175.24,3338,5219.04,3928,94.38,30.0,80.3,100.0,94.49,29.62
balanced,proportional_heuristic,TX_1,50,2226,1795,1338.0,1229.0,109.0,566.0,12,2109.6,566.0,545.0,1111.0,2109.73,1892,2637.16,2226,91.85,24.0,80.64,99.99,94.87,22.22
balanced,proportional_heuristic,WI_1,50,3394,2727,2629.0,2392.0,237.0,335.0,16,3696.63,335.0,1185.0,1520.0,3696.77,2884,4620.96,3394,90.99,32.0,80.35,100.0,94.56,30.4
near_full,milp_optimised,CA_1,50,3928,3731,2525.0,2417.0,108.0,1314.0,13,4779.75,1314.0,540.0,1854.0,4958.09,3731,5219.04,3928,95.72,26.0,94.98,96.4,100.0,37.08
near_full,milp_optimised,TX_1,50,2226,2114,1338.0,1311.0,27.0,803.0,9,2440.58,803.0,135.0,938.0,2505.3,2114,2637.16,2226,97.98,18.0,94.97,97.42,100.0,18.76
near_full,milp_optimised,WI_1,50,3394,3224,2629.0,2529.0,100.0,695.0,17,4290.52,695.0,500.0,1195.0,4389.91,3224,4620.96,3394,96.2,34.0,94.99,97.74,100.0,23.9
near_full,proportional_heuristic,CA_1,50,3928,3731,2525.0,2475.0,50.0,1256.0,3,4946.52,1256.0,250.0,1506.0,4958.09,3731,5219.04,3928,98.02,6.0,94.98,99.77,100.0,30.12
near_full,proportional_heuristic,TX_1,50,2226,2114,1338.0,1323.0,15.0,791.0,3,2487.16,791.0,75.0,866.0,2505.3,2114,2637.16,2226,98.88,6.0,94.97,99.28,100.0,17.32
near_full,proportional_heuristic,WI_1,50,3394,3224,2629.0,2557.0,72.0,667.0,9,4377.56,667.0,360.0,1027.0,4389.91,3224,4620.96,3394,97.26,18.0,94.99,99.72,100.0,20.54
tight,milp_optimised,CA_1,50,3928,2749,2525.0,1904.0,621.0,845.0,38,3275.84,845.0,3105.0,3950.0,3392.38,2749,5219.04,3928,75.41,76.0,69.98,96.56,100.0,79.0
tight,milp_optimised,TX_1,50,2226,1558,1338.0,1040.0,298.0,518.0,27,1468.31,518.0,1490.0,2008.0,1714.15,1558,2637.16,2226,77.73,54.0,69.99,85.66,100.0,40.16
tight,milp_optimised,WI_1,50,3394,2375,2629.0,2069.0,560.0,306.0,42,2883.93,306.0,2800.0,3106.0,3003.62,2375,4620.96,3394,78.7,84.0,69.98,96.01,100.0,62.12
tight,proportional_heuristic,CA_1,50,3928,2568,2525.0,2163.0,362.0,405.0,26,3392.35,405.0,1810.0,2215.0,3392.38,2749,5219.04,3928,85.66,52.0,65.38,100.0,93.42,44.3
tight,proportional_heuristic,TX_1,50,2226,1462,1338.0,1097.0,241.0,365.0,16,1714.09,365.0,1205.0,1570.0,1714.15,1558,2637.16,2226,81.99,32.0,65.68,100.0,93.84,31.4
tight,proportional_heuristic,WI_1,50,3394,2222,2629.0,2077.0,552.0,145.0,29,3003.58,145.0,2760.0,2905.0,3003.62,2375,4620.96,3394,79.0,58.0,65.47,100.0,93.56,58.1
