model,store_id,mae,rmse,bias,wape_percent
hist_gradient_boosting,CA_1,1.3272,1.9596,0.1242,73.5898
adaptive_baseline,CA_1,1.3566,2.1653,-0.2221,75.2164
weekly_seasonal_naive,CA_1,1.4679,2.4592,-0.1436,81.3861
last_value_naive,CA_1,1.8307,2.9232,0.7964,101.505
adaptive_baseline,TX_1,0.7351,1.5569,-0.4014,76.9112
last_value_naive,TX_1,0.88,1.7163,-0.2357,92.0777
weekly_seasonal_naive,TX_1,0.9057,1.7431,-0.1786,94.7683
hist_gradient_boosting,TX_1,0.9137,1.5125,0.0767,95.604
hist_gradient_boosting,WI_1,1.3026,2.2294,-0.1921,69.3652
adaptive_baseline,WI_1,1.3933,2.5703,-0.5086,74.1971
weekly_seasonal_naive,WI_1,1.5621,2.7377,-0.2893,83.1875
last_value_naive,WI_1,1.8236,3.0846,0.2221,97.1092
